Date,AQI_Value,Main_Pollutant,Site_ID,Site_Name,Source
1-Jan-1999,59,SO2,36-061-0056,PS 59,AQS
2-Jan-1999,102,SO2,36-061-0010,,AQS
3-Jan-1999,41,SO2,36-061-0010,,AQS
4-Jan-1999,62,SO2,36-061-0010,,AQS
5-Jan-1999,61,SO2,36-061-0010,,AQS
6-Jan-1999,28,CO,36-061-0081,BLOOMINGDALES,AQS
7-Jan-1999,57,SO2,36-061-0056,PS 59,AQS
8-Jan-1999,56,SO2,36-061-0056,PS 59,AQS
9-Jan-1999,74,SO2,36-061-0010,,AQS
10-Jan-1999,46,SO2,36-061-0056,PS 59,AQS
11-Jan-1999,56,SO2,36-061-0056,PS 59,AQS
12-Jan-1999,65,SO2,36-061-0056,PS 59,AQS
13-Jan-1999,59,SO2,36-061-0056,PS 59,AQS
14-Jan-1999,65,SO2,36-061-0056,PS 59,AQS
15-Jan-1999,79,SO2,36-061-0056,PS 59,AQS
16-Jan-1999,59,SO2,36-061-0056,PS 59,AQS
17-Jan-1999,62,SO2,36-061-0010,,AQS
18-Jan-1999,61,SO2,36-061-0056,PS 59,AQS
19-Jan-1999,65,SO2,36-061-0010,,AQS
20-Jan-1999,66,SO2,36-061-0056,PS 59,AQS
21-Jan-1999,92,SO2,36-061-0056,PS 59,AQS
22-Jan-1999,57,SO2,36-061-0056,PS 59,AQS
23-Jan-1999,50,SO2,36-061-0056,PS 59,AQS
24-Jan-1999,51,NO2,36-061-0010,,AQS
25-Jan-1999,47,NO2,36-061-0010,,AQS
26-Jan-1999,49,SO2,36-061-0010,,AQS
27-Jan-1999,71,SO2,36-061-0010,,AQS
28-Jan-1999,46,SO2,36-061-0056,PS 59,AQS
29-Jan-1999,47,SO2,36-061-0056,PS 59,AQS
30-Jan-1999,54,SO2,36-061-0010,,AQS
31-Jan-1999,55,SO2,36-061-0010,,AQS
1-Feb-1999,110,SO2,36-061-0056,PS 59,AQS
2-Feb-1999,54,NO2,36-061-0056,PS 59,AQS
3-Feb-1999,52,SO2,36-061-0056,PS 59,AQS
4-Feb-1999,47,SO2,36-061-0056,PS 59,AQS
5-Feb-1999,42,NO2,36-061-0010,,AQS
6-Feb-1999,52,SO2,36-061-0056,PS 59,AQS
7-Feb-1999,47,SO2,36-061-0056,PS 59,AQS
8-Feb-1999,51,SO2,36-061-0056,PS 59,AQS
9-Feb-1999,82,SO2,36-061-0056,PS 59,AQS
10-Feb-1999,51,SO2,36-061-0010,,AQS
11-Feb-1999,84,NO2,36-061-0056,PS 59,AQS
12-Feb-1999,62,SO2,36-061-0010,,AQS
13-Feb-1999,54,SO2,36-061-0056,PS 59,AQS
14-Feb-1999,43,NO2,36-061-0010,,AQS
15-Feb-1999,71,SO2,36-061-0056,PS 59,AQS
16-Feb-1999,114,SO2,36-061-0056,PS 59,AQS
17-Feb-1999,60,SO2,36-061-0056,PS 59,AQS
18-Feb-1999,44,NO2,36-061-0010,,AQS
19-Feb-1999,57,SO2,36-061-0010,,AQS
20-Feb-1999,42,NO2,36-061-0010,,AQS
21-Feb-1999,36,NO2,36-061-0056,PS 59,AQS
22-Feb-1999,43,SO2,36-061-0010,,AQS
23-Feb-1999,62,SO2,36-061-0056,PS 59,AQS
24-Feb-1999,71,SO2,36-061-0056,PS 59,AQS
25-Feb-1999,47,SO2,36-061-0010,,AQS
26-Feb-1999,54,NO2,36-061-0056,PS 59,AQS
27-Feb-1999,57,NO2,36-061-0056,PS 59,AQS
28-Feb-1999,61,NO2,36-061-0056,PS 59,AQS
1-Mar-1999,47,SO2,36-061-0056,PS 59,AQS
2-Mar-1999,60,NO2,36-061-0056,PS 59,AQS
3-Mar-1999,62,SO2,36-061-0010,,AQS
4-Mar-1999,47,NO2,36-061-0056,PS 59,AQS
5-Mar-1999,49,NO2,36-061-0010,,AQS
6-Mar-1999,51,NO2,36-061-0010,,AQS
7-Mar-1999,41,Ozone,36-061-0063,,AQS
8-Mar-1999,47,NO2,36-061-0056,PS 59,AQS
9-Mar-1999,50,NO2,36-061-0010,,AQS
10-Mar-1999,49,NO2,36-061-0010,,AQS
11-Mar-1999,46,NO2,36-061-0056,PS 59,AQS
12-Mar-1999,42,NO2,36-061-0056,PS 59,AQS
13-Mar-1999,45,NO2,36-061-0056,PS 59,AQS
14-Mar-1999,47,SO2,36-061-0010,,AQS
15-Mar-1999,45,NO2,36-061-0056,PS 59,AQS
16-Mar-1999,61,NO2,36-061-0056,PS 59,AQS
17-Mar-1999,84,SO2,36-061-0056,PS 59,AQS
18-Mar-1999,70,NO2,36-061-0056,PS 59,AQS
19-Mar-1999,48,NO2,36-061-0056,PS 59,AQS
20-Mar-1999,57,NO2,36-061-0010,,AQS
21-Mar-1999,56,NO2,36-061-0010,,AQS
22-Mar-1999,47,NO2,36-061-0056,PS 59,AQS
23-Mar-1999,84,SO2,36-061-0056,PS 59,AQS
24-Mar-1999,68,NO2,36-061-0056,PS 59,AQS
25-Mar-1999,46,NO2,36-061-0056,PS 59,AQS
26-Mar-1999,54,NO2,36-061-0010,,AQS
27-Mar-1999,57,NO2,36-061-0010,,AQS
28-Mar-1999,38,NO2,36-061-0010,,AQS
29-Mar-1999,56,NO2,36-061-0056,PS 59,AQS
30-Mar-1999,68,NO2,36-061-0010,,AQS
31-Mar-1999,102,SO2,36-061-0056,PS 59,AQS
1-Apr-1999,72,NO2,36-061-0010,,AQS
2-Apr-1999,53,NO2,36-061-0010,,AQS
3-Apr-1999,50,NO2,36-061-0010,,AQS
4-Apr-1999,39,NO2,36-061-0010,,AQS
5-Apr-1999,58,NO2,36-061-0010,,AQS
6-Apr-1999,86,NO2,36-061-0010,,AQS
7-Apr-1999,64,NO2,36-061-0010,,AQS
8-Apr-1999,78,NO2,36-061-0010,,AQS
9-Apr-1999,47,NO2,36-061-0010,,AQS
10-Apr-1999,43,NO2,36-061-0056,PS 59,AQS
11-Apr-1999,42,NO2,36-061-0056,PS 59,AQS
12-Apr-1999,46,NO2,36-061-0010,,AQS
13-Apr-1999,48,NO2,36-061-0056,PS 59,AQS
14-Apr-1999,53,NO2,36-061-0010,,AQS
15-Apr-1999,60,NO2,36-061-0056,PS 59,AQS
16-Apr-1999,56,NO2,36-061-0010,,AQS
17-Apr-1999,54,NO2,36-061-0010,,AQS
18-Apr-1999,49,SO2,36-061-0056,PS 59,AQS
19-Apr-1999,71,SO2,36-061-0010,,AQS
20-Apr-1999,66,SO2,36-061-0056,PS 59,AQS
21-Apr-1999,60,SO2,36-061-0010,,AQS
22-Apr-1999,73,NO2,36-061-0010,,AQS
23-Apr-1999,53,NO2,36-061-0010,,AQS
24-Apr-1999,43,NO2,36-061-0010,,AQS
25-Apr-1999,61,NO2,36-061-0010,,AQS
26-Apr-1999,69,SO2,36-061-0056,PS 59,AQS
27-Apr-1999,40,NO2,36-061-0010,,AQS
28-Apr-1999,51,NO2,36-061-0010,,AQS
29-Apr-1999,53,NO2,36-061-0010,,AQS
30-Apr-1999,50,NO2,36-061-0010,,AQS
1-May-1999,49,NO2,36-061-0056,PS 59,AQS
2-May-1999,46,Ozone,36-061-0063,,AQS
3-May-1999,49,NO2,36-061-0010,,AQS
4-May-1999,46,NO2,36-061-0010,,AQS
5-May-1999,66,NO2,36-061-0056,PS 59,AQS
6-May-1999,50,NO2,36-061-0056,PS 59,AQS
7-May-1999,34,NO2,36-061-0056,PS 59,AQS
8-May-1999,71,Ozone,36-061-0063,,AQS
9-May-1999,58,Ozone,36-061-0063,,AQS
10-May-1999,41,NO2,36-061-0056,PS 59,AQS
11-May-1999,50,NO2,36-061-0056,PS 59,AQS
12-May-1999,74,NO2,36-061-0056,PS 59,AQS
13-May-1999,54,NO2,36-061-0056,PS 59,AQS
14-May-1999,38,NO2,36-061-0056,PS 59,AQS
15-May-1999,41,NO2,36-061-0056,PS 59,AQS
16-May-1999,42,NO2,36-061-0056,PS 59,AQS
17-May-1999,46,NO2,36-061-0056,PS 59,AQS
18-May-1999,35,Ozone,36-061-0063,,AQS
19-May-1999,40,NO2,36-061-0056,PS 59,AQS
20-May-1999,49,NO2,36-061-0056,PS 59,AQS
21-May-1999,76,NO2,36-061-0056,PS 59,AQS
22-May-1999,187,Ozone,36-061-0063,,AQS
23-May-1999,105,Ozone,36-061-0063,,AQS
24-May-1999,61,NO2,36-061-0056,PS 59,AQS
25-May-1999,60,NO2,36-061-0056,PS 59,AQS
26-May-1999,57,NO2,36-061-0056,PS 59,AQS
27-May-1999,50,NO2,36-061-0056,PS 59,AQS
28-May-1999,87,Ozone,36-061-0063,,AQS
29-May-1999,150,Ozone,36-061-0063,,AQS
30-May-1999,204,Ozone,36-061-0063,,AQS
31-May-1999,192,Ozone,36-061-0063,,AQS
1-Jun-1999,169,Ozone,36-061-0063,,AQS
2-Jun-1999,151,Ozone,36-061-0063,,AQS
3-Jun-1999,57,NO2,36-061-0056,PS 59,AQS
4-Jun-1999,57,NO2,36-061-0010,,AQS
5-Jun-1999,79,NO2,36-061-0056,PS 59,AQS
6-Jun-1999,133,Ozone,36-061-0063,,AQS
7-Jun-1999,190,Ozone,36-061-0063,,AQS
8-Jun-1999,119,Ozone,36-061-0063,,AQS
9-Jun-1999,61,Ozone,36-061-0063,,AQS
10-Jun-1999,45,NO2,36-061-0056,PS 59,AQS
11-Jun-1999,57,NO2,36-061-0056,PS 59,AQS
12-Jun-1999,43,NO2,36-061-0056,PS 59,AQS
13-Jun-1999,39,Ozone,36-061-0063,,AQS
14-Jun-1999,50,Ozone,36-061-0063,,AQS
15-Jun-1999,53,NO2,36-061-0056,PS 59,AQS
16-Jun-1999,64,NO2,36-061-0056,PS 59,AQS
17-Jun-1999,44,NO2,36-061-0056,PS 59,AQS
18-Jun-1999,54,NO2,36-061-0010,,AQS
19-Jun-1999,56,NO2,36-061-0010,,AQS
20-Jun-1999,46,NO2,36-061-0056,PS 59,AQS
21-Jun-1999,48,NO2,36-061-0056,PS 59,AQS
22-Jun-1999,129,Ozone,36-061-0063,,AQS
23-Jun-1999,159,Ozone,36-061-0063,,AQS
24-Jun-1999,72,NO2,36-061-0056,PS 59,AQS
25-Jun-1999,77,NO2,36-061-0056,PS 59,AQS
26-Jun-1999,185,Ozone,36-061-0063,,AQS
27-Jun-1999,45,NO2,36-061-0010,,AQS
28-Jun-1999,46,Ozone,36-061-0063,,AQS
29-Jun-1999,87,Ozone,36-061-0063,,AQS
30-Jun-1999,55,NO2,36-061-0056,PS 59,AQS
1-Jul-1999,44,NO2,36-061-0056,PS 59,AQS
2-Jul-1999,78,PM2.5,36-061-0056,PS 59,AQS
3-Jul-1999,159,Ozone,36-061-0063,,AQS
4-Jul-1999,66,NO2,36-061-0010,,AQS
5-Jul-1999,87,PM2.5,36-061-0056,PS 59,AQS
6-Jul-1999,126,Ozone,36-061-0063,,AQS
7-Jul-1999,58,NO2,36-061-0056,PS 59,AQS
8-Jul-1999,51,PM2.5,36-061-0056,PS 59,AQS
9-Jul-1999,154,Ozone,36-061-0063,,AQS
10-Jul-1999,64,Ozone,36-061-0063,,AQS
11-Jul-1999,38,NO2,36-061-0010,,AQS
12-Jul-1999,43,NO2,36-061-0056,PS 59,AQS
13-Jul-1999,44,NO2,36-061-0056,PS 59,AQS
14-Jul-1999,54,NO2,36-061-0010,,AQS
15-Jul-1999,185,Ozone,36-061-0063,,AQS
16-Jul-1999,225,Ozone,36-061-0063,,AQS
17-Jul-1999,214,Ozone,36-061-0063,,AQS
18-Jul-1999,204,Ozone,36-061-0063,,AQS
19-Jul-1999,172,Ozone,36-061-0063,,AQS
20-Jul-1999,56,NO2,36-061-0056,PS 59,AQS
21-Jul-1999,43,NO2,36-061-0056,PS 59,AQS
22-Jul-1999,47,NO2,36-061-0056,PS 59,AQS
23-Jul-1999,159,Ozone,36-061-0063,,AQS
24-Jul-1999,195,Ozone,36-061-0063,,AQS
25-Jul-1999,100,Ozone,36-061-0063,,AQS
26-Jul-1999,105,Ozone,36-061-0063,,AQS
27-Jul-1999,88,NO2,36-061-0056,PS 59,AQS
28-Jul-1999,97,Ozone,36-061-0063,,AQS
29-Jul-1999,147,Ozone,36-061-0063,,AQS
30-Jul-1999,133,Ozone,36-061-0063,,AQS
31-Jul-1999,119,Ozone,36-061-0063,,AQS
1-Aug-1999,68,PM2.5,36-061-0056,PS 59,AQS
