Date,Source,Site ID,Daily_Mean_PM25_Concentration,UNITS,DAILY_AQI,Site_Name,PERCENT_COMPLETE,AQS_PARAMETER_DESC,STATE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
2-Jul-1999,AQS,360610056,24.8,ug/m3 LC,78,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
5-Jul-1999,AQS,360610056,29,ug/m3 LC,87,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
8-Jul-1999,AQS,360610056,12.3,ug/m3 LC,51,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
11-Jul-1999,AQS,360610056,4.6,ug/m3 LC,19,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
26-Jul-1999,AQS,360610056,17.9,ug/m3 LC,63,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
29-Jul-1999,AQS,360610056,26.9,ug/m3 LC,82,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
31-Jul-1999,AQS,360610010,36.2,ug/m3 LC,103,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
1-Aug-1999,AQS,360610056,20.4,ug/m3 LC,68,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
2-Aug-1999,AQS,360610010,12,ug/m3 LC,50,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
3-Aug-1999,AQS,360610010,9.6,ug/m3 LC,40,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
4-Aug-1999,AQS,360610056,13.5,ug/m3 LC,54,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
5-Aug-1999,AQS,360610010,19.2,ug/m3 LC,66,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
6-Aug-1999,AQS,360610010,14.5,ug/m3 LC,56,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
7-Aug-1999,AQS,360610056,11.4,ug/m3 LC,48,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
8-Aug-1999,AQS,360610010,33.6,ug/m3 LC,96,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
10-Aug-1999,AQS,360610056,11.3,ug/m3 LC,47,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
13-Aug-1999,AQS,360610056,27.6,ug/m3 LC,84,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
14-Aug-1999,AQS,360610010,17.1,ug/m3 LC,62,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
15-Aug-1999,AQS,360610010,10.7,ug/m3 LC,45,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
16-Aug-1999,AQS,360610056,13.6,ug/m3 LC,54,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
17-Aug-1999,AQS,360610010,32.6,ug/m3 LC,94,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
18-Aug-1999,AQS,360610010,25.7,ug/m3 LC,80,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
19-Aug-1999,AQS,360610062,9.3,ug/m3 LC,39,CANAL STREET,100,PM2.5 - Local Conditions,New York,New York,40.72062227,-74.00367397
21-Aug-1999,AQS,360610010,5.3,ug/m3 LC,22,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
22-Aug-1999,AQS,360610056,7.2,ug/m3 LC,30,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
23-Aug-1999,AQS,360610010,12.8,ug/m3 LC,52,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
25-Aug-1999,AQS,360610056,15.2,ug/m3 LC,58,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
26-Aug-1999,AQS,360610010,12.7,ug/m3 LC,52,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
27-Aug-1999,AQS,360610010,18.9,ug/m3 LC,65,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
28-Aug-1999,AQS,360610010,35.5,ug/m3 LC,101,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
29-Aug-1999,AQS,360610010,26.8,ug/m3 LC,82,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
30-Aug-1999,AQS,360610010,4.6,ug/m3 LC,19,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
31-Aug-1999,AQS,360610056,8.3,ug/m3 LC,35,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
1-Sep-1999,AQS,360610010,5.8,ug/m3 LC,24,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
2-Sep-1999,AQS,360610010,9.7,ug/m3 LC,40,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
3-Sep-1999,AQS,360610056,15.5,ug/m3 LC,58,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
4-Sep-1999,AQS,360610010,11.9,ug/m3 LC,50,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
6-Sep-1999,AQS,360610062,9.2,ug/m3 LC,38,CANAL STREET,100,PM2.5 - Local Conditions,New York,New York,40.72062227,-74.00367397
9-Sep-1999,AQS,360610062,39.4,ug/m3 LC,111,CANAL STREET,100,PM2.5 - Local Conditions,New York,New York,40.72062227,-74.00367397
